,latitude,longitude,description,locationName,source,reportedDate,entryBy
72,3.1532931,101.710693,An employee and his immediate family have been under home quarantine since March 19,Menara Bank Islam,https://www.malaymail.com/news/malaysia/2020/03/22/bank-islam-employee-tested-positive-for-covid-19-but-no-service-disruption/1848944,22/03/2020,Admin
73,2.979761,101.757454,Shell petrol station in Kajang closed after Covid-19 case,"Shell Sungai Ramal, Kajang",https://www.themalaysianinsight.com/s/230897,22/03/2020,Admin
74,3.162764,101.606007,A resident of Mutiara Damansara PJU 7 tested positive for COVID-19 attended AGM of 30 people,PJU 7 Mutiara Damansara Phase 10,pic/PJU7.jpeg,22/03/2020,Admin
75,3.0839176,101.6590382,One of the owners from block A level 30 has been tested positive from COVID-19,Petalz Residence,pic/petalz.png,22/03/2020,Admin
76,3.1984735,101.7041555,A resident has been infected by COVID-19,MH Platinum,pic/mh-platinum.jpeg,22/03/2020,Admin
77,3.1267706,101.6752441,An employee confirmed positive on March 20. The branch sanitised and practice proper hygiene,"Dataran Maybank, Bangsar",https://www.malaymail.com/news/malaysia/2020/03/22/maybank-says-two-employees-positive-for-covid-19-necessary-action-taken/1849098,22/03/2020,Admin
78,4.0046049,101.0403233,A number of staffs has been tested positive for COVID-19,Hospital Teluk Intan,http://www.astroawani.com/berita-malaysia/covid-19-petugas-perubatan-hospital-teluk-intan-sah-dijangkiti-kp-kesihatan-234819,23/03/2020,Admin
79,2.7281491,101.9360386,Two of employees of CIMB Seremban infected by COVID-19,"CIMB Bank Jalan Datuk Bandar Tunggal, Seremban",https://www.thestar.com.my/business/business-news/2020/03/23/cimb-confirms-two-seremban-branch-staff-have-covid-19,23/03/2020,Admin
80,2.265367,102.249317,"An employee of CTRM, a subsidiary of DRB-HICOM tested positive for Covid-19.","Composites Technology Research Malaysia (CTRM) , DRB-HICOM subsidiary",https://www.nst.com.my/news/nation/2020/03/577511/one-positive-covid-19-case-drb-hicoms-subsidiary-melaka,24/03/2020,Admin
81,,,Bukit Damansara mosque urges those who interacted with 3 families to get tested,Masjid Bukit Damansara,https://www.thestar.com.my/news/nation/2020/03/25/covid-19-bukit-damansara-mosque-urges-those-who-interacted-with-3-families-to-get-tested,25/03/2020,
82,,,7 Istana Negara staff is COVID-19 positive,Istana Negara,https://www.bharian.com.my/berita/nasional/2020/03/669414/covid-19-agong-permaisuri-kuarantin-diri-selepas-7-petugas-istana,26/03/2020,
